customer_id,tenure_months,support_tickets,plan_tier,churned
1,28,119.29,D,0
2,10,258.44,B,0
3,43,37.67,B,0
4,10,137.3,A,0
5,43,152.92,C,0
6,30,246.27,C,0
7,22,49.87,A,0
8,39,152.77,B,0
9,51,233.13,A,0
10,46,273.63,A,1
11,43,240.02,C,0
12,7,203.12,C,0
13,9,197.75,B,0
14,48,485.84,B,1
15,28,54.56,B,0
16,58,82.93,D,0
17,8,111.37,B,0
18,15,62.42,D,0
19,30,99.64,C,0
20,12,267.25,B,0
21,27,190.17,A,0
22,20,298.97,D,1
23,5,22.99,A,0
24,43,227.17,A,0
25,47,173.3,C,0
26,5,340.02,C,1
27,54,473.6,C,1
28,25,158.38,B,0
29,43,249.42,A,0
30,24,315.43,D,1
31,37,211.23,A,0
32,56,238.23,B,0
33,24,469.89,D,1
34,19,482.43,B,1
35,34,130.77,C,0
36,36,281.51,C,1
37,6,451.93,A,1
38,44,120.32,A,0
39,29,318.23,C,1
40,5,254.63,C,0
41,26,59.43,A,0
42,51,341.22,C,1
43,4,77.81,A,0
44,31,188.91,C,0
45,11,313.83,A,1
46,52,258.66,B,1
47,22,270.5,B,0
48,28,414.98,B,1
49,31,68.84,D,0
50,55,139.18,D,0
51,43,339.3,A,1
52,55,63.82,A,0
53,17,138.91,B,0
54,15,216.43,D,0
55,22,333.1,A,1
56,7,114.78,A,0
57,33,96.92,A,0
58,14,75.48,A,0
59,39,165.83,A,0
60,27,44.04,C,0
61,33,100.14,B,0
62,53,351.29,D,1
63,30,155.83,D,0
64,11,48.38,B,0
65,8,312.18,D,1
66,46,499.03,B,1
67,30,228.41,D,0
68,13,136.14,C,0
69,59,36.76,B,0
70,5,498.77,D,1
71,14,263.67,A,0
72,11,291.93,B,0
73,9,303.86,B,1
74,7,449.21,C,1
75,38,127.42,A,0
76,23,13.01,A,0
77,37,326.11,B,1
78,29,415.84,B,1
79,54,476.02,C,1
80,47,472.22,D,1
81,42,295.71,A,1
82,12,193.28,C,0
83,28,469.07,B,1
84,47,22.63,C,0
85,20,44.83,A,0
86,22,151.52,C,0
87,2,290.91,C,0
88,50,338.85,D,1
89,28,327.79,C,1
90,6,295.94,D,0
91,38,342.87,D,1
92,33,22.97,A,0
93,37,332.88,B,1
94,33,251.32,A,0
95,9,281.68,B,0
96,14,427.32,A,1
97,11,396.83,D,1
98,14,87.03,A,0
99,45,426.23,A,1
100,46,23.98,C,0
101,22,209.18,B,0
102,50,300.11,C,1
103,25,286.91,A,1
104,23,152.23,A,0
105,32,57.77,B,0
106,49,116.25,D,0
107,17,197.35,D,0
108,26,42.28,A,0
109,8,118.22,A,0
110,3,228.98,B,0
111,14,277.24,C,0
112,15,267.17,D,0
113,40,186.61,B,0
114,41,247.16,B,0
115,55,167.6,C,0
116,47,169.5,D,0
117,5,381.89,D,1
118,47,53.75,B,0
119,30,125.78,C,0
120,14,41.92,C,0
121,41,286.82,A,1
122,33,158.7,C,0
123,18,211.81,A,0
124,7,306.54,C,1
125,58,106.43,C,0
126,21,184.07,B,0
127,56,499.73,D,1
128,2,264.84,B,0
129,30,497.27,B,1
130,22,358.13,C,1
131,30,468.72,A,1
132,43,301.7,C,1
133,17,244.9,C,0
134,40,268.71,C,1
135,29,411.34,B,1
136,11,365.05,D,1
137,35,438.04,D,1
138,45,43.23,C,0
139,8,291.32,D,0
140,34,341.72,B,1
141,4,307.1,D,1
142,6,405.69,B,1
143,46,259.8,D,0
144,39,414.99,D,1
145,44,199.2,A,0
146,2,483.04,A,1
147,14,486.65,C,1
148,2,431.69,A,1
149,10,463.96,B,1
150,41,164.46,A,0
151,25,441.12,A,1
152,33,37.99,D,0
153,16,255.84,C,0
154,48,257.15,C,0
155,48,460.76,C,1
156,37,20.71,B,0
157,59,98.46,A,0
158,39,27.68,B,0
159,16,347.63,B,1
160,38,150.36,B,0
161,13,343.53,D,1
162,15,468.59,A,1
163,32,277.22,B,1
164,30,59.48,C,0
165,27,186.48,C,0
166,29,395.75,D,1
167,19,73.36,C,0
168,6,254.66,B,0
169,3,214.68,B,0
170,16,451.33,C,1
171,24,198.11,B,0
172,14,196.7,C,0
173,59,324.34,B,1
174,38,278.9,A,1
175,51,185.0,C,0
176,3,242.48,A,0
177,41,240.21,B,0
178,30,89.11,D,0
179,55,489.8,D,1
180,24,309.82,B,1
181,15,170.31,A,0
182,30,107.91,C,0
183,46,478.79,B,1
184,10,338.71,A,1
185,49,432.9,B,1
186,6,461.3,C,1
187,5,38.19,A,0
188,23,460.1,D,1
189,50,279.35,C,1
190,29,392.23,A,1
191,44,170.58,C,0
192,1,234.98,C,0
193,10,107.69,C,0
194,22,450.73,D,1
195,31,414.94,D,1
196,4,304.39,D,0
197,27,80.97,B,0
198,44,53.62,B,0
199,9,449.49,B,1
200,9,159.95,A,0
201,54,249.98,A,0
202,52,56.16,B,0
203,4,106.08,B,0
204,5,194.28,B,0
205,29,191.34,D,0
206,47,392.17,C,1
207,39,147.11,A,0
208,48,397.81,B,1
209,29,238.03,C,0
210,5,298.2,C,0
211,17,250.56,B,0
212,49,258.96,C,1
213,58,304.87,D,1
214,49,358.64,D,1
215,27,254.9,C,0
216,37,353.3,A,1
217,55,47.81,B,0
218,47,235.6,A,0
219,21,486.8,B,1
220,20,14.47,C,0
221,44,287.33,A,1
222,39,269.93,A,1
223,17,100.21,C,0
224,35,363.44,C,1
225,8,339.59,A,1
226,44,494.29,B,1
227,15,433.31,C,1
228,43,335.45,B,1
229,11,130.69,D,0
230,34,369.85,C,1
231,52,443.96,B,1
232,52,395.83,D,1
233,5,286.54,A,0
234,52,377.92,B,1
235,17,41.2,D,0
236,43,191.53,A,0
237,26,470.68,A,1
238,28,435.61,D,1
239,51,454.4,D,1
240,58,350.93,C,1
241,59,189.67,A,0
242,31,392.59,B,1
243,31,235.06,C,0
244,51,291.44,A,1
245,31,339.01,B,1
246,42,51.97,D,0
247,58,45.85,C,0
248,6,242.82,D,0
249,17,214.49,A,0
250,52,456.14,C,1
251,35,269.48,D,0
252,43,272.74,C,1
253,16,301.71,B,1
254,5,106.53,B,0
255,19,117.37,B,0
256,26,470.81,B,1
257,8,126.98,A,0
258,30,184.43,B,0
259,23,254.48,C,0
260,44,162.09,D,0
261,50,51.16,C,0
262,9,434.15,A,1
263,15,495.61,D,1
