CustomerID,Gender,Age,Region,ProductCategory,Date,UnitsPurchased,UnitPrice,MarketingSpend,Revenue,HighPurchase
1,Male,34,South,Beauty,2023-06-19,5,277.48,107.23,1387.4,1
2,Female,26,East,Clothing,2025-09-16,3,396.06,143.47,1188.18,1
3,Male,50,North,Electronics,2024-05-16,6,162.4,88.71,974.4,1
4,Male,37,West,Home,2023-03-09,5,291.97,187.78,1459.85,1
5,Male,30,East,Clothing,2023-01-28,3,176.08,58.99,528.24,0
6,Female,45,East,Beauty,2023-05-28,6,408.81,95.09,2452.86,1
7,Male,65,West,Beauty,2025-07-21,6,236.03,151.39,1416.18,1
8,Male,46,North,Clothing,2024-01-08,8,42.98,137.82,343.84,1
9,Male,30,North,Beauty,2023-12-19,2,87.2,172.73,174.4,1
10,Female,63,East,Sports,2023-09-19,1,35.25,199.36,35.25,1
11,Male,52,North,Sports,2023-03-22,4,252.15,85.37,1008.6,0
12,Male,23,South,Sports,2024-03-29,7,57.64,22.23,403.48,1
13,Male,35,West,Electronics,2023-03-03,10,61.5,6.08,615.0,1
14,Male,68,South,Clothing,2025-04-13,3,470.82,145.38,1412.46,1
15,Female,22,North,Electronics,2023-11-21,3,436.96,174.8,1310.88,1
16,Male,64,East,Beauty,2023-11-26,5,228.78,44.14,1143.9,0
17,Female,42,West,Electronics,2024-03-14,5,492.97,31.69,2464.85,0
18,Female,19,North,Beauty,2024-02-10,10,5.09,12.44,50.9,1
19,Female,27,North,Beauty,2025-10-05,3,308.92,164.54,926.76,1
20,Male,47,East,Home,2024-05-31,9,310.13,62.28,2791.17,1
21,Female,67,East,Sports,2023-01-16,4,231.43,80.34,925.72,0
22,Male,62,South,Beauty,2024-08-06,3,201.49,100.55,604.47,1
23,Female,22,West,Home,2023-03-26,2,230.41,167.89,460.82,1
24,Female,50,West,Sports,2022-11-14,10,210.41,130.17,2104.1,1
25,Female,18,East,Beauty,2025-09-08,9,366.59,123.01,3299.31,1
26,Female,35,South,Beauty,2025-02-05,4,72.0,35.13,288.0,0
27,Female,49,West,Electronics,2025-09-19,3,102.83,102.64,308.49,1
28,Female,64,East,Electronics,2024-03-18,7,94.36,143.08,660.52,1
29,Female,66,North,Sports,2024-05-16,8,134.92,194.65,1079.36,1
30,Female,28,West,Beauty,2023-04-14,2,265.0,40.28,530.0,0
31,Male,38,South,Clothing,2023-07-09,7,60.05,1.91,420.35,1
32,Male,43,South,Electronics,2025-04-17,5,434.74,15.06,2173.7,0
33,Female,42,South,Sports,2023-11-06,5,152.19,75.17,760.95,0
34,Female,39,North,Beauty,2025-04-04,3,85.46,164.11,256.38,1
35,Female,44,West,Beauty,2024-11-26,5,339.43,1.43,1697.15,0
36,Male,66,West,Clothing,2023-04-24,2,23.85,91.35,47.7,0
37,Female,30,North,Sports,2024-04-19,4,311.88,65.85,1247.52,0
38,Male,50,West,Beauty,2024-10-22,6,350.61,10.5,2103.66,1
39,Male,51,North,Electronics,2023-06-26,1,111.38,90.05,111.38,0
40,Male,58,North,Clothing,2025-04-08,10,25.77,50.95,257.7,1
41,Male,52,North,Sports,2024-05-30,4,185.0,70.38,740.0,0
42,Male,18,South,Clothing,2023-04-10,6,53.8,141.12,322.8,1
43,Female,38,West,Electronics,2024-07-11,9,62.66,104.31,563.94,1
44,Female,65,North,Sports,2025-10-10,2,130.86,24.93,261.72,0
45,Female,23,West,Clothing,2023-03-25,7,151.26,192.28,1058.82,1
46,Female,45,South,Home,2025-03-24,6,267.34,127.18,1604.04,1
47,Female,34,North,Electronics,2023-05-27,2,340.8,153.17,681.6,1
48,Male,22,East,Electronics,2025-02-14,8,298.42,15.84,2387.36,1
49,Female,48,South,Electronics,2024-12-24,7,78.44,9.41,549.08,1
50,Female,22,East,Home,2023-09-06,5,90.18,3.89,450.9,0
51,Male,55,West,Home,2023-10-03,5,439.99,37.76,2199.95,0
52,Female,20,West,Beauty,2025-02-25,7,281.38,82.88,1969.66,1
53,Male,40,South,Clothing,2024-02-29,9,435.62,187.17,3920.58,1
54,Female,54,West,Beauty,2024-12-20,9,188.92,91.41,1700.28,1
55,Male,54,East,Clothing,2023-03-23,9,309.13,58.05,2782.17,1
56,Female,27,North,Home,2025-05-02,6,264.21,112.39,1585.26,1
57,Female,27,North,Home,2024-11-28,10,162.97,22.39,1629.7,1
58,Male,36,North,Beauty,2025-07-01,6,237.61,121.9,1425.66,1
59,Male,34,South,Sports,2023-03-05,3,253.73,113.69,761.19,1
60,Male,38,West,Beauty,2024-07-22,1,104.38,158.4,104.38,1
61,Male,31,East,Clothing,2024-07-29,7,160.93,197.34,1126.51,1
62,Male,26,West,Beauty,2023-11-03,4,396.75,50.17,1587.0,0
63,Male,63,West,Electronics,2024-02-26,1,458.32,101.93,458.32,1
64,Male,18,West,Clothing,2022-11-22,8,183.1,181.77,1464.8,1
65,Male,68,North,Clothing,2025-01-05,6,156.95,157.04,941.7,1
66,Female,62,East,Sports,2024-06-04,6,101.62,97.48,609.72,1
67,Female,30,East,Home,2022-12-14,2,340.85,189.07,681.7,1
68,Male,21,West,Clothing,2024-10-26,1,164.93,11.45,164.93,0
69,Female,18,North,Home,2024-03-06,2,493.94,186.2,987.88,1
70,Female,66,North,Beauty,2022-11-18,4,166.21,10.1,664.84,0
71,Female,57,East,Electronics,2025-09-07,2,200.1,109.46,400.2,1
72,Female,49,North,Sports,2025-08-16,1,303.65,178.09,303.65,1
73,Male,51,North,Home,2024-04-25,7,401.83,52.54,2812.81,1
74,Female,45,North,Clothing,2023-01-22,8,237.41,94.45,1899.28,1
75,Male,48,South,Home,2025-01-15,6,214.21,64.87,1285.26,1
76,Female,25,West,Clothing,2024-04-02,4,497.84,190.43,1991.36,1
77,Female,56,East,Home,2023-09-08,6,10.19,164.73,61.14,1
78,Female,43,East,Clothing,2024-04-02,3,448.06,141.8,1344.18,1
79,Male,51,South,Beauty,2024-05-06,8,78.82,117.53,630.56,1
